Admin regions,category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Daegu,30-34 (¢¶),79.9,73,71.6,77.5,80.9,78.3,84.7,98.1,97.3,96.7,109.6,114.4,122,113.1,114.7,120.3,115.9,104,96.1,91.3,79.6,76.8,75.4,66.6,74.5
Daegu,35-39 (¢¶),14.4,14.6,13.6,15.1,15.3,15.5,17.1,20.9,21.2,22.2,27.4,30.4,35.5,35.5,41.1,47,48.5,45.7,45.2,43,38,41.1,39.7,41.3,45
Daegu,40-44 (¢¶),2.2,1.9,1.8,1.8,1.8,1.6,1.7,2.3,2,2.3,3.2,3.2,3.8,4.1,4.6,4.8,5.2,5.1,5.4,5.8,5.8,6.3,6.9,6.9,7
Daegu,45-49 (¢¶),0.2,0.3,0.2,0.2,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2
Incheon,total fertility rate,1.473,1.324,1.185,1.213,1.158,1.075,1.116,1.257,1.186,1.143,1.214,1.232,1.301,1.195,1.212,1.216,1.144,1.007,1.006,0.94,0.829,0.778,0.747,0.694,0.762
Incheon,15-19 (¢¶),2.4,2.3,3.3,2.4,2.1,2.1,2,1.8,1.2,1.9,2,1.9,1.8,1.7,1.7,1.6,1.4,1.2,1.2,1,0.8,0.7,0.4,0.4,0.4
Incheon,20-24 (¢¶),43.5,34.2,30.8,28.3,22.6,19.7,18.5,21.1,17.9,16.3,15.8,15.9,15.6,13.8,13.2,13.1,12.9,10.3,9.1,8.5,6.6,5.3,4.5,4.1,4.6
Incheon,25-29 (¢¶),155.5,136.2,115.5,117.6,109.2,94.7,92,100.2,86.9,82.7,81,79.5,79.1,67.3,63.8,62.7,55.7,46.3,43.3,36.2,30.6,27.5,24.3,22.2,23.2
Incheon,30-34 (¢¶),75.9,73,68.6,74.3,77.8,76.3,84.9,97.3,99.3,98.2,109.6,112.3,120.2,111.2,113.6,113.2,105.8,92,92.3,87,76.9,71,67.9,62.2,70.4
Incheon,35-39 (¢¶),14.8,15.8,15.4,16.6,16.6,17.8,19.8,24.1,26.2,26.5,31.8,34,39.6,40.1,44.1,46.6,46.8,44.6,47.1,46.3,42.4,42.1,43.1,41.4,45.9
Incheon,40-44 (¢¶),2.4,2.4,2.4,2.4,2.3,2.4,2.4,2.9,3.4,3.1,3.9,4.4,5,4.8,5.2,5.7,5.4,5.9,6.6,7.1,6.9,7.7,8,7.8,7.8
Incheon,45-49 (¢¶),0.2,0.4,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2
Gwang ju,total fertility rate,1.636,1.421,1.264,1.278,1.203,1.105,1.152,1.262,1.198,1.137,1.223,1.234,1.295,1.17,1.199,1.207,1.168,1.053,0.972,0.913,0.811,0.896,0.844,0.706,0.699
Gwang ju,15-19 (¢¶),3.2,2.4,3.8,3.1,2.7,2,2.3,2.2,2.1,1.7,1.8,2,1.9,1.7,1.7,1.4,1.4,1.2,1,0.8,0.6,0.6,0.4,0.2,0.5
Gwang ju,20-24 (¢¶),41.3,34.7,28.6,26.8,22.9,18.2,17.6,18.7,17.7,15.5,16.7,17.5,16.8,14,13.8,12.6,11.4,9.9,8.7,7.1,5.5,5,4.1,4.1,3.8
Gwang ju,25-29 (¢¶),167.5,140.4,121.3,121.3,111.8,97.4,95.4,102,90.2,82.3,84.3,83.8,78.9,68.1,65.1,62.7,60.4,50.9,40.8,37.3,30.3,32,28.8,23.5,20.3
Gwang ju,30-34 (¢¶),91.3,84.2,78,84.2,81.7,80.6,89.9,99.2,100.3,98.8,110.1,109.9,122,109.7,112.3,113.2,107.1,95.9,91.4,85.7,75.9,86.1,80.6,66.1,68
Gwang ju,35-39 (¢¶),19.9,18.8,17.8,17,18.5,18.5,19.6,24.3,24.2,25.7,29.3,31.7,36.1,35.9,41,45,45.9,45,44.1,42.2,40.6,45.2,45.1,39,40.5
Gwang ju,40-44 (¢¶),3.4,2.7,2.8,2.6,2.5,2.4,2.5,3,3.2,3.6,4,4,4.5,4.5,4.6,5.6,5.6,5.5,5.8,6.6,6.7,7.3,7.4,6.5,5.6
Gwang ju,45-49 (¢¶),0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.2
Dae Jeon,total fertility rate,1.501,1.33,1.207,1.221,1.181,1.107,1.158,1.274,1.215,1.156,1.205,1.261,1.315,1.234,1.25,1.277,1.192,1.075,0.952,0.883,0.805,0.81,0.842,0.787,0.792
Dae Jeon,15-19 (¢¶),2.9,2.4,3.4,2.6,2.2,2.1,2,1.8,2.2,2.2,1.4,1.9,2.3,1.9,1.8,1.8,1.4,1.5,1.3,0.7,0.8,0.5,0.3,0.6,0.3
Dae Jeon,20-24 (¢¶),38.7,30.6,25.2,22.9,19.7,17.7,17.6,17.9,17.2,15.2,16.5,16.5,16.1,14.4,13.4,12.4,12.3,9.2,8.3,7,5.9,5,5,3.9,4.1
Dae Jeon,25-29 (¢¶),153.8,134.7,114.8,117.1,110.4,95.7,93.5,97.8,88.6,82.5,78.4,80.5,79.8,71.1,67.3,67.1,57.9,51.8,41.8,36.7,30.1,28.9,26.8,24.6,22.1
Dae Jeon,30-34 (¢¶),84.6,78,77.7,81.1,83.3,83.9,92.6,105.7,103.8,102.6,111.2,116.6,122.7,115.4,118,120.6,111.3,98.8,88.6,82,76.1,76.6,78.5,74.8,76.1
Dae Jeon,35-39 (¢¶),17.6,17.1,17.2,17.8,17.9,18,20.9,25.1,25.9,25.8,31.5,34.3,38.2,39.2,43.3,47.9,49,45.8,42.9,42,39.7,41.9,47.4,44.4,47.1
Dae Jeon,40-44 (¢¶),3,2.6,2.4,2.4,2.4,2.4,2.2,2.8,3.1,3.2,3.5,4,5.1,4.6,5.1,5,5.4,5.9,5.5,6.1,6.4,6.8,8.3,7.7,7.7
Dae Jeon,45-49 (¢¶),0.1,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2
Ulsan,total fertility rate,1.633,1.423,1.242,1.28,1.241,1.186,1.242,1.403,1.338,1.308,1.369,1.393,1.481,1.391,1.437,1.486,1.418,1.261,1.131,1.084,0.984,0.94,0.848,0.814,0.859
Ulsan,15-19 (¢¶),1.7,1.7,2.7,2.2,2.4,1.9,2.1,2.5,1.5,1.3,1.7,1.5,1.4,1.8,1.3,1.6,1.3,1.1,0.8,0.9,0.5,0.1,0.6,0.4,0.3
Ulsan,20-24 (¢¶),44.2,34.6,26.5,24.7,20.5,19.8,20.1,23.5,20.9,19.8,16.7,14.5,16.4,14.5,15.4,13.5,12.8,11.5,9.2,7.9,7,5.9,4.4,4.4,4.3
Ulsan,25-29 (¢¶),184,153.5,131.1,135.8,126.3,112.6,112.3,121.6,109.4,105.3,102.2,98,102.6,86.8,85.1,85.4,77.9,66.5,55.7,48.6,42.7,38.5,31.6,31,29.9
Ulsan,30-34 (¢¶),78.6,75.3,70.1,75.6,80.9,82.7,91.4,105.6,108.4,108.7,125.2,131.7,139.9,132.7,135,142.1,132.9,117.8,106.7,107,99.4,95.1,87.5,82.7,88.3
Ulsan,35-39 (¢¶),14.8,15.7,14.4,14.2,15.3,15.7,16.8,20.5,22.8,24.6,28.3,33.2,35.5,38.7,44.9,49.1,51.9,47,45.6,43.6,39.4,39.7,37.5,37.8,43.2
Ulsan,40-44 (¢¶),2.2,2.3,2.3,2.3,2,1.9,1.8,2.6,2.2,2.7,2.8,3,3.8,3.9,4.6,4.7,5.1,5.9,6,6.2,6,6.6,6.5,5.9,5.8
Ulsan,45-49 (¢¶),0.2,0.3,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Sejong,total fertility rate,-,-,-,-,-,-,-,-,-,-,-,-,1.597,1.435,1.354,1.893,1.821,1.668,1.566,1.472,1.277,1.277,1.121,0.971,1.028
Sejong,15-19 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,2.2,1.7,1.7,1.3,1.1,0.8,1.2,0.7,0.2,0.2,0.4,0.3,0.3
Sejong,20-24 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,29.3,23.3,18.5,19.1,19.7,14.8,12.4,11.6,8.7,6.3,6.1,3.2,3.1
Sejong,25-29 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,101.1,91,84.2,119.7,110,95.2,85.8,73.1,56,54.6,40.5,36.3,35.8
Sejong,30-34 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,141.9,127.4,120.3,169.7,160.7,153.2,143.7,139.8,128,128.1,112.6,98.3,105.2
Sejong,35-39 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,38,39,42.9,64,63.4,63.8,61.3,60.6,54.8,58.4,55.7,49.9,55.2
Sejong,40-44 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,7.8,5.5,4.8,6.3,9.6,7.1,9.5,9.5,7.7,8.6,9.3,7.2,7.5
Sejong,45-49 (¢¶),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.2,0.3,0.2,0.5,0.3,0.4,0.3,0.1,0.1,0.1,0.2
Province-Kyung gi,total fertility rate,1.628,1.437,1.305,1.321,1.28,1.183,1.239,1.361,1.285,1.226,1.309,1.314,1.355,1.226,1.241,1.272,1.194,1.069,1.002,0.943,0.878,0.853,0.839,0.766,0.789
Province-Kyung gi,15-19 (¢¶),3,2.7,3,2.8,2.8,2.3,2.2,2.1,1.6,1.5,1.6,1.6,1.5,1.4,1.3,1.1,1,0.8,0.7,0.7,0.7,0.4,0.3,0.3,0.4
Province-Kyung gi,20-24 (¢¶),51.1,40.9,34.7,29.7,25.8,21.6,21.3,21.6,19.6,17.3,16.9,16.5,16.3,13.6,12.8,11.9,11.2,9.2,7.6,6.7,5.9,4.9,4,3.8,3.7
Province-Kyung gi,25-29 (¢¶),166,143.9,126.3,128.3,118.7,104.2,102.4,107.4,95.8,88.9,87.9,85.4,83.1,69.5,66.6,65.9,57.6,48.3,41.8,36.5,32.3,29,25.7,22.6,21.6
Province-Kyung gi,30-34 (¢¶),86.1,79.7,77.2,83.2,87.7,85.7,95,107.7,107.2,106.1,118.7,119.7,126.4,115.3,117.4,119.8,113.1,100.6,94.7,89.3,83.3,81.2,80,71.9,75.1
Province-Kyung gi,35-39 (¢¶),18.4,18,17.5,18.2,19.3,19.6,22.3,27.3,27.9,28.4,34.4,36.9,40.1,40.1,43.5,49.1,48.7,47.5,47.2,46.2,44.3,45.6,47.8,45.4,48.6
Province-Kyung gi,40-44 (¢¶),3,3,2.8,2.9,2.8,2.8,2.9,3.5,3.2,3.6,4.2,4.9,5,4.9,5.2,5.7,6,6.1,6.5,7.2,7.5,7.9,8.7,8.3,8
Province-Kyung gi,45-49 (¢¶),0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Province-Kangwon,total fertility rate,1.6,1.413,1.317,1.279,1.261,1.188,1.202,1.356,1.253,1.248,1.313,1.338,1.374,1.249,1.248,1.311,1.237,1.123,1.067,1.082,1.036,0.979,0.968,0.893,0.889
Province-Kangwon,15-19 (¢¶),3.9,2.7,3.8,3.1,3,2.7,2.9,2.8,2.3,2.5,2.1,2.6,2.3,2.4,2,2.1,1.5,1.4,1.2,1.3,1.3,0.5,0.6,0.8,0.6
Province-Kangwon,20-24 (¢¶),50.4,39.5,34.6,31,27.7,24,22.9,26,23.2,21.1,21.8,22.3,21,19.1,16.7,17.1,15.6,13.3,12.1,11,10.2,8.5,8.2,6.3,5.8
Province-Kangwon,25-29 (¢¶),159.6,138.1,125.1,120.5,115,105.9,103.1,112.9,101.3,99,96.8,96,93.9,80.3,78.8,77.6,71.8,64.7,57.6,54.7,51,47,43.1,37,36.4
Province-Kangwon,30-34 (¢¶),80.2,76.9,75.3,77.3,82,80.3,84.3,96.4,92.5,95.8,108.7,110.1,117.2,106.5,108.4,114.6,107.8,95.6,91.5,96.6,92.7,87.2,86.8,80.5,82.9
Province-Kangwon,35-39 (¢¶),19.4,18.6,18.6,18.4,19.5,19.6,21.5,25.7,24.3,26.7,29.4,32.9,35.3,34.6,36.7,42.7,42.5,41,42.7,43.1,42.4,43.1,44.8,44.6,44.4
Province-Kangwon,40-44 (¢¶),3.3,3.1,2.9,2.9,3.3,2.9,2.9,3.9,3.9,3.8,4.4,4.6,5.1,4.8,4.7,5.5,5.2,5.9,5.6,6.7,7.3,7.3,8.4,8.4,7.3
Province-Kangwon,45-49 (¢¶),0.4,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.2,0.2,0.2
Province-Choong book,total fertility rate,1.583,1.426,1.294,1.27,1.272,1.195,1.233,1.398,1.319,1.317,1.402,1.428,1.485,1.365,1.363,1.414,1.358,1.235,1.172,1.05,0.983,0.949,0.871,0.886,0.882
Province-Choong book,15-19 (¢¶),3.9,3.3,3.7,3.2,3.2,2.9,2.6,2.9,2,2.3,2.2,2.5,2.6,2.2,2,2,1.6,1.5,1.3,1.5,1.1,0.7,0.5,0.7,0.4
Province-Choong book,20-24 (¢¶),51.3,42.2,36.8,32.6,29,24.6,26.1,28.9,26,25.4,24.4,24.7,23.8,21.9,19,17.9,17.6,14.8,14,11.6,10.1,8.4,7.5,6.5,7.1
Province-Choong book,25-29 (¢¶),160.6,143.6,126.6,124.5,123.3,111.5,107.5,118.9,111,107.3,104.6,105,104.4,89.6,87.6,88.6,80.7,67.8,63.1,52.6,46.1,43,37.9,36.3,35.3
Province-Choong book,30-34 (¢¶),78.8,73.6,68.6,71,76.5,77.6,84.6,97.7,95.2,100,117,117.6,127.5,116.8,118.4,122.7,118.6,108.2,102.5,93.8,90,88.4,81.6,81.7,83.5
Province-Choong book,35-39 (¢¶),17.4,16.7,17.1,17.2,18.3,17.5,19.9,24,23,24,28.9,33.3,35.9,37.4,38.8,44.8,46.1,46.8,45.4,41.5,41.2,40.8,38.9,43.6,42.6
Province-Choong book,40-44 (¢¶),2.8,3,3.2,2.9,3,2.9,3.1,3.1,3,3.3,4.4,4.4,4.3,4.4,5.1,5.4,5.1,5.9,5.8,6.5,6.1,6.3,6.2,7.6,7.3
Province-Choong book,45-49 (¢¶),0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1
Province-Choong Nam,total fertility rate,1.698,1.532,1.361,1.358,1.357,1.267,1.356,1.506,1.444,1.408,1.479,1.496,1.571,1.442,1.421,1.48,1.395,1.276,1.186,1.112,1.029,0.963,0.909,0.842,0.883
Province-Choong Nam,15-19 (¢¶),5.1,4.3,4.1,3.9,3.9,3.3,3.7,3.4,2.7,2.6,2.6,2.9,2.8,2.4,2.3,2,2,1.8,1.3,1.4,1.1,0.6,0.5,0.4,0.5
Province-Choong Nam,20-24 (¢¶),58.1,49.9,43.3,36.3,33.2,31.4,30.8,35,31.8,30.2,29.7,30.5,29.3,25.1,22.5,22.5,20.4,17.4,15.7,13.7,11.5,9.8,7.6,7.2,7
Province-Choong Nam,25-29 (¢¶),171.9,151.4,128.8,133.2,129.5,115.8,122.2,132.7,123.1,116.7,116.8,114.3,113,97.6,91.4,97.8,85.4,75.7,66.4,58.6,52.1,46.6,41.9,36.2,36.4
Province-Choong Nam,30-34 (¢¶),80.9,76,73.2,74.7,81.1,79,86.8,98.1,98.9,102.1,112.9,118.3,130.6,120,122.2,123,118.6,107.8,102.7,97.4,92.7,86.2,83.7,77.4,83.2
Province-Choong Nam,35-39 (¢¶),18.1,18.5,17.1,17.9,19.1,19.3,21.6,25.2,25.7,25.4,31,31,34.9,37.5,39.1,44.5,45.8,45.3,43.7,42,39.4,40.8,40.1,39.4,41.9
Province-Choong Nam,40-44 (¢¶),3.2,3.8,2.5,3.2,3.2,3.2,3.5,3.8,3.6,4.1,4.2,4.8,4.9,4.6,5,5.3,5.2,5.9,5.8,6.9,7.1,7,6.9,7.1,7.2
Province-Choong Nam,45-49 (¢¶),0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.1
Province-Jeonbook ,total fertility rate,1.595,1.426,1.275,1.274,1.239,1.184,1.213,1.38,1.305,1.279,1.374,1.405,1.44,1.32,1.329,1.352,1.251,1.151,1.044,0.971,0.909,0.85,0.817,0.78,0.808
Province-Jeonbook ,15-19 (¢¶),4.5,3.7,3.5,3.6,3.5,3.3,3.6,3.7,2.4,2.4,2.8,2.8,2.6,2.3,2.5,1.9,1.5,1.3,1.1,1.1,1.1,0.6,0.6,0.6,0.8
Province-Jeonbook ,20-24 (¢¶),47.9,40.5,36.2,32.6,28.9,24.6,25,28.6,27.2,26.2,25.3,25.1,23.4,20.1,18.8,17.6,16.1,13.4,12.1,10.5,8.1,6.9,5.8,5.2,5.7
Province-Jeonbook ,25-29 (¢¶),160.2,141,122,121.4,114,105.1,102.2,112.4,102.9,95.4,98.8,97.9,96.2,80.2,79.8,78,66.8,61.4,49.7,45,40.3,36.5,30.6,29,28.1
Province-Jeonbook ,30-34 (¢¶),82.4,76.3,71.9,75.7,79.8,79.5,85,98.7,97.5,101.9,112.1,116.7,122.7,116.6,116.3,119,113.5,100.7,92.5,87.3,82.4,75.9,77.4,72.6,75.6
Province-Jeonbook ,35-39 (¢¶),18.8,18.7,17.1,17,17.6,18.8,20.5,25.4,24,24.8,31.4,33.8,37.2,37.5,40.8,46,43.9,44.7,43.9,40.8,40.3,40.3,40.2,39.6,42.9
Province-Jeonbook ,40-44 (¢¶),2.8,3.2,2.7,2.8,2.7,3.2,3.2,3.4,3.5,3.7,4.1,4.8,5.5,5.5,5.2,5.6,5.7,5.7,6.4,6.4,6.9,7.3,6.8,7.2,7.1
Province-Jeonbook ,45-49 (¢¶),0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Province-Jeon nam,total fertility rate,1.75,1.566,1.391,1.389,1.36,1.29,1.337,1.542,1.449,1.445,1.537,1.568,1.642,1.518,1.497,1.549,1.466,1.325,1.24,1.234,1.145,1.017,0.969,0.972,1.028
Province-Jeon nam,15-19 (¢¶),4.5,4.3,3.4,4.3,4,3.6,3.6,4.8,3.2,3.4,2.9,3,2.7,2.9,2.6,2.1,2,1.8,1.6,1.2,1.5,0.8,0.5,0.7,0.7
Province-Jeon nam,20-24 (¢¶),56.6,46.8,40.3,35.4,31.9,28.3,27.8,32.2,32.5,30.3,31.4,30.3,28.8,24.3,22.9,21.7,18,16.2,13.3,12,11.7,9.2,8.1,8.4,8.1
Province-Jeon nam,25-29 (¢¶),171.4,154.4,133.4,133,127.5,116,115.6,128.4,114.8,113.8,112.9,111.6,113.6,97.8,93.6,92.7,84.5,72.2,63.3,58.9,53.9,46,40.5,37.6,37.8
Province-Jeon nam,30-34 (¢¶),88.5,80.2,74.4,78.1,81.9,82.5,89.3,106.7,104.6,108.3,122.7,127.8,137.5,130.5,130,135.6,128.4,115.3,110.3,111.9,103.2,92.8,88.2,91,98.8
Province-Jeon nam,35-39 (¢¶),20.5,20.2,19.8,19.5,20.6,20.2,23,27.5,27.6,27.6,32.8,35,39.8,40.9,42.5,49,50.6,49.9,49.9,51.3,48.2,44.5,45.8,46.5,50.8
Province-Jeon nam,40-44 (¢¶),3.5,2.9,3,3.1,2.9,3.3,3.6,4.1,3.6,4.2,4.7,6.1,5.6,5.7,5.2,6.2,6.5,6,6.1,7.8,7.5,7.8,8.2,8.3,8.2
Province-Jeon nam,45-49 (¢¶),0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Province-kyung book ,total fertility rate,1.578,1.402,1.232,1.253,1.203,1.173,1.208,1.369,1.313,1.274,1.377,1.434,1.489,1.379,1.408,1.464,1.396,1.256,1.167,1.089,1.003,0.966,0.93,0.86,0.897
Province-kyung book ,15-19 (¢¶),2.6,2.5,2.2,2.5,2.1,2.6,3,3.7,2.3,2.3,2.6,2.5,2.1,2.4,2.4,1.7,1.4,1.1,1.2,1,1,0.7,0.5,0.5,0.5
Province-kyung book ,20-24 (¢¶),44,35.4,30.8,27.1,24.1,21.9,22.7,26.7,25.7,23.2,24.2,23.8,23.6,20.8,18.9,18.4,16.6,14.5,12.4,10,9.7,7.5,6.3,5.7,6
