Admin regions,category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Province-kyung book ,25-29 (¢¶),169.4,147.8,123.5,127.7,117,109.3,106.4,116,104.4,99.5,101.7,101.6,101.8,89.4,86.3,87.3,80.1,69.6,60.6,55.1,47.6,43.5,38.2,33.4,34.1
Province-kyung book ,30-34 (¢¶),78.8,74.2,70.2,74.2,78.3,80.4,85.1,99.1,100.8,102.4,117.4,124.5,132,120.9,126,131.3,125.3,110.3,103.5,97.7,91.4,89.2,89,80.5,85.9
Province-kyung book ,35-39 (¢¶),16.3,16.1,14.9,15.2,16.1,16.7,19.2,21.5,23.2,23.8,28.2,33,35.4,37.5,41.4,48,48,47.8,46.9,44.5,41.9,42.8,42.5,43.2,44.3
Province-kyung book ,40-44 (¢¶),2.8,2.3,2.5,2.3,2.4,2.3,2.3,2.7,2.9,3.2,3.5,4.2,4.4,4.2,4.7,4.9,6.1,5.9,6,6.5,6.8,7.6,7.7,7.7,7.8
Province-kyung book ,45-49 (¢¶),0.3,0.1,0.3,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2
Province-kyung nam,total fertility rate,1.586,1.417,1.272,1.29,1.266,1.189,1.254,1.434,1.368,1.323,1.413,1.446,1.503,1.367,1.409,1.437,1.358,1.227,1.122,1.046,0.945,0.903,0.838,0.799,0.82
Province-kyung nam,15-19 (¢¶),2.7,2.4,1.9,2.5,1.7,2.2,2.6,2.8,2.4,2.2,2,2.1,2.1,1.8,1.5,1.7,1.2,1.1,1.1,1,0.7,0.4,0.4,0.2,0.4
Province-kyung nam,20-24 (¢¶),45.2,37.6,30.4,27.3,24.5,21.2,22.4,27.5,25.7,23,22.3,21.5,19.8,17.4,16.9,15.3,14.8,11.5,10.7,8.4,7.5,6.3,5.3,5.1,4.9
Province-kyung nam,25-29 (¢¶),170.8,151.4,132.1,133.5,126.7,112.9,112.9,122.9,111.3,105.4,105.3,104.6,103.5,88,84,83.7,76.1,66.5,56.4,49.3,42.4,38.7,33.2,30.5,29.4
Province-kyung nam,30-34 (¢¶),78.7,72.7,71.1,76.5,81.2,81.5,88.7,104.3,104.8,106,122.2,126.8,136.9,124.8,130.2,133.3,123.7,111.4,104.4,98.6,90.9,87,82.3,77.2,81.7
Province-kyung nam,35-39 (¢¶),15.7,14.9,15.2,15.1,16.7,16.3,18.3,22.3,23.9,25.1,29.8,33.7,36.3,36.6,42.8,47,48.8,47.3,43.8,42.7,39.3,39.5,38,38.9,40.4
Province-kyung nam,40-44 (¢¶),2.4,2.4,2.3,2.2,2,2.1,2.4,2.7,2.9,3,3.6,4,4.5,4.6,4.8,5,5.3,5.3,5.4,6.2,5.9,6.5,6.5,6.8,6.2
Province-kyung nam,45-49 (¢¶),0.2,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
Province-Jeju,total fertility rate,1.783,1.564,1.394,1.438,1.365,1.31,1.372,1.489,1.386,1.378,1.463,1.487,1.598,1.427,1.481,1.477,1.432,1.305,1.22,1.145,1.021,0.951,0.919,0.827,0.826
Province-Jeju,15-19 (¢¶),4.1,2.6,3.2,2.5,2.8,2.2,3.2,2.2,1.9,2.8,2.6,2.1,2.5,2.6,2.7,2.7,2.3,1.6,1.1,1.1,1.3,0.2,0.6,0.5,0.7
Province-Jeju,20-24 (¢¶),43.8,41.4,31.1,27.7,26.6,22,22.9,25,23.5,22.5,23,23.5,23.2,21.8,20.5,19,17.5,13.6,12.1,11.9,11.3,9,5.6,5.8,7
Province-Jeju,25-29 (¢¶),161.9,136.3,119.7,126,112.8,104.3,102.1,109,93.8,93.5,96.5,95.6,98.9,80.7,85.4,79.2,75.8,65,60.2,50,42.6,38.3,34.2,32,28.2
Province-Jeju,30-34 (¢¶),111.3,100.8,92.9,97.6,97.6,98.3,105.7,115.2,114.2,111.1,123.8,126,136.5,122.5,125,125.1,117.2,112.2,102.6,98.3,88,81.7,82.5,72.7,75.5
Province-Jeju,35-39 (¢¶),30.8,28.5,26.9,30,27.9,28.1,31.3,36.5,35.1,38.6,40.3,43.3,50.8,49.2,52.5,59.1,62.4,56,55.7,53.6,49.3,47.6,49,43.4,44.2
Province-Jeju,40-44 (¢¶),5.4,4.1,5.7,4.9,4.8,3.9,5.1,5.8,5.9,5.9,7.5,7.1,8,7.5,7.8,8.6,8.7,8.9,9,10.6,9.2,10.7,10,10,8.6
Province-Jeju,45-49 (¢¶),0.8,0.3,0.5,0.4,0.5,0.6,0.4,0.5,0.3,0.1,0.1,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.2,0.3,0.4
